Variable,(1) OLS,(1) OLS_se,(2) TWFE,(2) TWFE_se,(3) TWFE+H2,(3) TWFE+H2_se
rd_intensity,-0.7835***,(0.0467),-0.5329***,(0.1151),-0.7087***,(0.2359)
rd_x_size,,,,,0.0606,(0.0749)
ln_at,0.0244***,(0.0020),0.0728***,(0.0100),0.0710***,(0.0099)
leverage,-0.1528***,(0.0181),-0.1997***,(0.0388),-0.2002***,(0.0388)
capx_intensity,-0.0568,(0.0413),0.0759,(0.0613),0.0767,(0.0612)
cash_ratio,-0.0642***,(0.0159),0.1046***,(0.0307),0.1042***,(0.0306)
Firm FE,No,,Yes,,Yes,
Year FE,No,,Yes,,Yes,
Clustered SE,No,,Yes,,Yes,
N,"5,452",,"5,452",,"5,452",
R²,0.196,,0.121,,0.121,
